id,workbook_description,csv_description,archived_description,description_matches,selected_description
152,"sap flow ""another""","sap flow another""""""ap flow ""","sap flow another""""""ap flow """,False,"sap flow ""another"""
153,TDR WCR 9,TDR WCR 9,TDR WCR 9,True,TDR WCR 9
154,"TDR WCR 1, 2, 3","TDR WCR 1, 2, 3","TDR WCR 1, 2, 3",True,"TDR WCR 1, 2, 3"
155,weather station south side,weather station south side,weather station south side,True,weather station south side
156,TDR WCR0,TDR WCR0,TDR WCR0,True,TDR WCR0
157,TDR WCR1,TDR WCR1,TDR WCR1,True,TDR WCR1
158,"sap flow fary fir, juliet box","sap flow fary fir, juliet box","sap flow fary fir, juliet box",True,"sap flow fary fir, juliet box"
159,TDR WCR5,TDR WCR5,TDR WCR5,True,TDR WCR5
160,"sapflow left, box india","sapflow left, box india","sapflow left, box india",True,"sapflow left, box india"
161,"sapflow lumpy, box golf","sapflow lumpy, box golf","sapflow lumpy, box golf",True,"sapflow lumpy, box golf"
162,TDR WCR 8,TDR WCR 8,TDR WCR 8,True,TDR WCR 8
163,TDR WCR 7,TDR WCR 7,TDR WCR 7,True,TDR WCR 7
164,TDR WCR A/B/C,TDR WCR A/B/C,TDR WCR A/B/C,True,TDR WCR A/B/C
165,"Sapflow, hotel box, differential gps box with Todd and Kelly, vertical profile","Sapflow, hotel box, differential gps box with Todd and Kelly, vertical profile","Sapflow, hotel box, differential gps box with Todd and Kelly, vertical profile",True,"Sapflow, hotel box, differential gps box with Todd and Kelly, vertical profile"
166,TDR WCR 6,TDR WCR 6,TDR WCR 6,True,TDR WCR 6
167,trail,trail,trail,True,trail
168,trail,trail,trail,True,trail
169,trail bend,trail bend,trail bend,True,trail bend
170,trail bend,trail bend,trail bend,True,trail bend
171,trail junction,trail junction,trail junction,True,trail junction
172,trail to Lydia,trail to Lydia,trail to Lydia,True,trail to Lydia
173,Tree tag Ridge #84,Tree tag Ridge #84,Tree tag Ridge #84,True,Tree tag Ridge #84
174,hyprop sample S1,hyprop sample S1,hyprop sample S1,True,hyprop sample S1
175,hyprop samples S2,hyprop samples S2,hyprop samples S2,True,hyprop samples S2
176,hyprop sample S4,hyprop sample S4,hyprop sample S4,True,hyprop sample S4
177,core sample for bulk density,core sample for bulk density,core sample for bulk density,True,core sample for bulk density
178,hyprop sample S3,hyprop sample S3,hyprop sample S3,True,hyprop sample S3
