rounded_datetime,J [mm/h],Cin [-],C_flux_in,C_in_conserved,ET [mm/h],Q [mm/h],wi [-],measC_Q
2017-03-19 04:00:00,0.045675000000000014,-27.0,-1.2332250000000002,-27.0,0.057925782964861214,0.1610267844133929,0.02332838855007966,
2017-03-19 08:00:00,0.0,-27.0,0.0,,0.057925782964861214,0.15852377740178578,0.022965771111477386,
2017-03-19 12:00:00,0.0,-27.0,0.0,,0.057925782964861214,0.1554519051602679,0.02252074061864732,
2017-03-19 16:00:00,0.0,-27.0,0.0,,0.057925782964861214,0.15093890766964296,0.0218669303884402,
2017-03-19 20:00:00,0.137025,-27.0,-3.6996750000000014,-27.000000000000004,0.057925782964861214,0.14775326238214295,0.021405417284764576,
2017-03-20 00:00:00,0.137025,-27.0,-3.6996750000000014,-27.000000000000004,0.057925782964861214,0.1504838154857144,0.021800999945057967,
2017-03-20 04:00:00,0.0,-27.0,0.0,,0.037733668139662266,0.15002872330178582,0.02173506950167573,
2017-03-20 08:00:00,0.045675000000000014,-27.0,-1.2332250000000002,-27.0,0.037733668139662266,0.14775326238214292,0.021405417284764573,
2017-03-20 12:00:00,0.8221499999999999,-27.0,-22.19805,-27.0,0.037733668139662266,0.14684307801428578,0.02127355639800011,
2017-03-20 16:00:00,0.045675000000000014,-27.0,-1.2332250000000002,-27.0,0.037733668139662266,0.14707062410625005,0.02130652161969122,
2017-03-20 20:00:00,4.4761500000000005,-27.0,-120.85605,-27.0,0.037733668139662266,0.14415044925937506,0.0208834679413219,
2017-03-21 00:00:00,1.4159250000000003,-27.0,-38.229975,-27.0,0.037733668139662266,0.1823402683607144,0.026416130981814185,
2017-03-21 04:00:00,3.8367,-27.0,-103.5909,-27.0,0.040461702707292144,0.18654987106205367,0.02702598758309983,
2017-03-21 08:00:00,0.137025,-27.0,-3.6996750000000014,-27.000000000000004,0.040461702707292144,0.21798915610178585,0.031580682380089,
2017-03-21 12:00:00,0.18270000000000006,-27.0,-4.932900000000001,-27.0,0.040461702707292144,0.2365341625968751,0.034267347947914945,
2017-03-21 16:00:00,0.7308000000000001,-27.0,-19.731600000000004,-27.0,0.040461702707292144,0.21852009698303584,0.031657601230701604,
2017-03-21 20:00:00,4.11075,-27.0,-110.99025,-27.0,0.040461702707292144,0.2171927447799108,0.031465304104170096,
2017-03-22 00:00:00,1.7356500000000004,-27.0,-46.86255000000001,-27.0,0.040461702707292144,0.23152814857366086,0.0335421130707104,
2017-03-22 04:00:00,1.5529500000000005,-27.0,-41.92965,-27.0,0.04244377629569964,0.254206909072768,0.03682764683259161,
2017-03-22 08:00:00,0.31972500000000004,-27.0,-8.632575000000001,-27.0,0.04244377629569964,0.2923208794767858,0.04234932146585352,
2017-03-22 12:00:00,0.593775,-27.0,-16.031925,-27.0,0.04244377629569964,0.29133484641160723,0.04220647217185868,
2017-03-22 16:00:00,0.0,-27.0,0.0,,0.04244377629569964,0.29300351775267874,0.04244821713092687,
2017-03-22 20:00:00,0.0,-27.0,0.0,,0.04244377629569964,0.2893248559325893,0.04191527938025381,
2017-03-23 00:00:00,0.0,-27.0,0.0,,0.04244377629569964,0.2879595793808037,0.04171748805010713,
2017-03-23 04:00:00,0.045675000000000014,-27.0,-1.2332250000000002,-27.0,0.05334618308307018,0.2883388228674108,0.04177243008625898,
2017-03-23 08:00:00,0.0,-27.0,0.0,,0.05334618308307018,0.2839775227714286,0.041140596670512584,
2017-03-23 12:00:00,0.0,-27.0,0.0,,0.05334618308307018,0.2800333905107144,0.04056919949453326,
2017-03-23 16:00:00,0.0,-27.0,0.0,,0.05334618308307018,0.2706281520428573,0.039206636997967136,
2017-03-23 20:00:00,0.3654000000000001,-27.0,-9.865800000000002,-27.0,0.05334618308307018,0.2685043885178573,0.038898961595516736,
